Hi.	嗨。
Oh, really?	噢，真的嗎?
Once again.	再一次。
She smiled.	她笑了。
Stand back!	往后站！
Stay sharp.	保持警惕。
Stay there.	留在这里别动。
Step aside.	让开。
Study hard.	好好学习。
That hurts.	真疼。
Time flies.	時光飛逝。
Tom is shy.	汤姆害羞。
Tom smiled.	汤姆笑了。
Tom yawned.	汤姆打哈欠了。
Turn right.	向右转。
We laughed.	我们笑了。
We lost it.	我们失去了它。
What is it?	這是什麼啊？
What's new?	有什么新鲜事吗？
Where am I?	我在哪裡？
Where am I?	這是什麼地方?
Who are we?	我們是誰？
Wood burns.	木材燃燒。
Are we done?	我们完成了吗？
Are you Tom?	你是汤姆吗？
Are you mad?	您生气了吗？
Are you mad?	你生气了吗？
Are you sad?	你傷心嗎？
Be friendly.	友好点。
Break it up!	停手！
Can you see?	你能看吗？
Count me in.	算我一个.
Do as I say.	按我說的做。
Don't leave!	別走！
Don't panic!	不要恐慌！
Don't shout.	不许大叫。
Don't worry.	別擔心。
Don't worry.	别擔心。
Get serious.	认真点。
He is alone.	他獨自一人。
He is drunk.	他醉了。
He's strong.	他很強壯。
Here we are!	我們到了！
Here, catch!	这里，快抓住。
How are you?	你們好嗎？
How are you?	你好嗎？
How curious!	多怪啊！
How strange!	真奇怪。
I am coming.	我來了。
I buy tapes.	我買磁帶。
I can't say.	我不能说。
I don't lie.	我不說謊。
I eat bread.	我吃面包。
I feel cold.	我觉得冷。
I feel fine.	我感觉很好。
I feel weak.	我感到虚弱。
I have time.	我有时间。
I heard you.	我聽你的。
I like fish.	我喜欢鱼。
I like jazz.	我喜歡爵士樂。
I live here.	我住在這。
I need glue.	我需要胶水。
I overslept.	我睡过头了。
I said that.	我是那樣說的。
I smell gas.	我聞到瓦斯味。
I trust him.	我信任他。
I trust you.	我信任你。
I want more.	我想要更多。
I was wrong.	我搞错了。
I will obey.	我会听从指示。
I will wait.	我會等。
I work here.	我在這裡工作。
I'll attend.	我會參加。
I'll get in.	我會進去。
I'm 17, too.	我也是17岁。
I'm a loser.	我是個不成器的人。
I'm at home.	我在家。
I'm curious.	我很好奇。
I'm married.	我结婚了。
I'm married.	我已婚。
I'm reading.	我在读书。
I'm serious.	我是認真的。
I'm thirsty.	我渴了。
Is Tom well?	汤姆还好吧？
Is it yours?	这是你的吗？
It can't be!	这不可能！
It can't be!	不可能！
It's my job.	這是我份內的事。
Just say no.	只要說不。
Keep trying.	继续努力。
Let me know.	讓我知道。
Let's begin.	讓我們開始吧。
Let's leave.	走吧。
Let's start!	讓我們開始吧。
Life is fun.	人生是有趣的。
Look around.	四处看看。
Lunch is on.	午餐送到了。
Many thanks.	非常感谢！
Money talks.	金钱万能。
Nice timing.	好时机。
No one came.	没有人来了。
OK. I agree.	好。我同意。
Please come.	请来吧。
Please sing.	请唱歌。
Release him.	放开他。
She hit him.	她打了他。
Stand aside.	一边站着。
Step inside.	进来。
That's life.	這就是生活。
That's life.	人生就是如此。
That's true.	這是真的。
They hugged.	他们拥抱。
They kissed.	他们亲吻了。
This is ice.	這是冰塊。
Tom blushed.	汤姆脸红了。
Tom frowned.	湯姆皺著眉頭。
Tom got fat.	汤姆变胖了。
Tom saw you.	湯姆看見你了。
Tom'll wait.	湯姆會等。
Tom's wrong.	湯姆錯了。
Turn around.	转过来。
Was I wrong?	我错了吗？
We are boys.	我們是男孩。
We are late.	我們遲到了。
We both won.	我們都贏了。
We can rest.	我们可以休息。
We know him.	我們認識他。
We love Tom.	我们爱汤姆。
We want Tom.	我们想要汤姆。
What a pity!	太可惜了！
What a pity!	多遗憾啊！
What is new?	有什么新鲜事吗？
What's that?	那是什么？
What's this?	這是什麼啊？
What's this?	那是什么？
Who are you?	你是誰？
Who drew it?	誰畫的？
Who is that?	那是谁？
Whose is it?	这是谁的？
Wood floats.	木头会漂浮。
Work slowly.	干活慢点。
You're sick!	你有病！
Anything new?	有什么新鲜事吗？
Are you busy?	你忙嗎？
Are you lost?	您迷路了吗？
Are you lost?	你迷路了吗？
Are you sure?	你确定吗？
Be realistic!	现实点！
Bring him in.	带他进来。
Call Tom now.	现在给汤姆打电话。
Can we do it?	我们能做到吗？
Can you come?	你能來嗎？
Can you read?	你能閱讀嗎？
Can you swim?	你會游泳嗎?
Did you call?	你打過電話了嗎？
Do you smoke?	你吸烟吗?
Do your best.	盡力而為。
Don't be shy.	不要害羞。
Don't bother.	不用麻烦了。
Don't bug me.	别来烦我。
Drive safely.	安全地駕駛。
Drive slowly.	开车慢点。
Ghosts exist.	鬼魂是存在的。
Give it back.	还回去
Good evening.	晚上好。
Good evening.	晚上好！
Good morning.	早上好！
He got angry.	他生气了。
He has a car.	他有辆车。
He likes tea.	他喜歡茶。
He loves her.	他愛她。
He was brave.	他很勇敢。
He's out now.	他现在出去了。
How annoying!	真烦人。
How dare you!	你敢！
How horrible!	真糟糕！
I admire you.	我欣赏你。
I almost won.	我几乎赢了。
I am at home.	我在家。
I am curious.	我很好奇。
I am married.	我结婚了。
I am praying.	我在祈禱。
I am thirsty.	我渴了。
I ate caviar.	我吃了魚子醬。
I called Tom.	我給湯姆打了電話。
I don't care.	我无所谓。
I have a car.	我有一辆车。
I have a dog.	我有一条狗。
I have a map.	我有一張地圖。
I like these.	我喜欢这些。
I love music.	我爱音乐。
I missed you.	我想你。
I see a book.	我看到一本書。
I understand.	我明白了。
I want a dog.	我想要一隻狗。
I'll sue you.	我要告你。
I'm all ears.	我洗耳恭聽。
I'm free now.	我现在有空了。
I'm innocent.	我是清白的。
I'm new here.	我是新來的。
I'm not sure.	我不确定。
I'm pregnant.	我怀孕了。
I'm so happy.	我好高興。
I'm so tired.	我好累。
I'm starving!	我饿死了！
I'm starving!	我餓死了！
I'm the best.	我是最好的。
I'm thrilled.	我激動不已。
I've decided.	我決定了。
Is that love?	那是愛嗎？
Is that true?	真的？
It's amazing.	太神奇了。
It's obvious.	它是明顯的。
It's raining.	下雨了。
It's raining.	在下雨。
It's snowing.	正在下雪。
It's so hard.	太难了。
It's too big.	它太大了。
Keep looking.	繼續看！
Keep reading.	继续看。
Keep working.	繼續工作！
Let me think.	讓我想一想。
Let's go now.	我们现在去吧。
Life goes on.	人生會繼續。
Mary came in.	瑪麗進來了。
Mary is tall.	瑪麗很高。
May I go now?	我现在能去了吗？
Move quietly.	轻轻地移动。
My eyes hurt.	我的眼睛痛。
No one knows.	沒有人知道。
Nobody asked.	没人问过。
Open the box.	打開箱子。
Please hurry.	请抓紧时间。
Please leave.	請你離開。
See you soon!	一会儿见！
See you then.	到時候見。
Shame on you!	你真丢脸！
Shame on you.	你真丢脸！
She is quiet.	她很安静。
She is upset.	她心情不好。
She may come.	她可以來。
She may come.	她也許來。
Someone came.	有人来了。
Stop gawking.	别再傻看着。
Stop reading.	别再念了。
Stop staring.	别再盯着了。
Stop talking.	不要说话了。
Stop whining.	别再埋怨了。
Stop yelling!	别再喊叫了！
Sweet dreams!	祝你好梦。
Take it easy.	放輕鬆。
Take it easy.	別緊張。
Take me home.	带我回家。
Tell us more.	告訴我們多一點。
That is mine.	那是我的。
That's crazy.	那是瘋狂的。
That's great.	那真是太好了。
That's right.	对！
They refused.	他們拒絕了。
This is mine.	这是我的。
This is true.	這是真的。
Tom followed.	汤姆跟着。
Tom is clean.	湯姆是干净的。
Tom is happy.	湯姆高興。
Tom knows me.	Tom認識我。
Tom sat down.	汤姆坐下了。
Tom told him.	汤姆告诉了他。
Tom was full.	汤姆饱了。
Tom, wake up.	汤姆，快起来！
Try it again.	再試一次。
Unbelievable!	難以置信!
Unbelievable!	难以置信！
Vote for Tom.	投票給湯姆。
Wait and see.	走著瞧
We are happy.	我們很快樂。
We can begin.	我們能開始。
We need more.	我們需要更多。
We succeeded.	我们成功了。
We surrender.	我們投降。
We're hiding.	我们在藏着。
Welcome back.	欢迎回来。
What is love?	愛是什麼？
What is that?	那是什么？
What is this?	這是什麼啊？
Who built it?	这是谁建的？
Who was here?	谁来了这里？
Years passed.	多少年过去了。
Anything else?	还有别的吗？
Are you angry?	您生气了吗？
Are you angry?	你生气了吗？
Are you happy?	你快樂嗎？
Are you ready?	您准备好了吗？
Are you ready?	你们准备好了吗？
Are you ready?	你准备好了吗？
Are you tired?	你累了嗎?
Bring the key.	帶鑰匙來。
Call security!	叫保安来！
Can you skate?	你会溜冰吗？
Check, please.	請結帳。
Don't give up!	不要放棄!
Draw a circle.	画一个圈。
Flowers bloom.	鮮花盛開。
He can't swim.	他不會游泳。
He is a thief.	这是一个小偷。
He is at home.	他在家裡。
He is my type!	他是我的菜!
He is no fool.	他不是傻子。
He is no fool.	他没疯。
He is out now.	他现在出去了。
He isn't home.	他不在家。
He lied to us.	他欺騙了我們。
He sells cars.	他賣車子。
He shot at me.	他槍擊了我。
He tries hard.	他努力地嘗試。
He wants more.	他想要更多。
He's not home.	他不在家。
How about you?	你怎麼樣？
How about you?	那你呢?
How about you?	你們呢？
How about you?	您呢？
How beautiful!	多美啊！
I am divorced.	我离婚了。
I am very sad.	我很难过。
I approved it.	我同意它。
I believe you.	我相信你。
I believe you.	我信过你。
I can see Tom.	我看得见汤姆。
I can't do it.	我無法做到這一點。
I despise you.	我鄙视你。
I did my best.	我做得好到不能再好了。
I did see him.	我确实看见他了。
I didn't pass.	我没通过。
I feel lonely.	我觉得很孤独。
I got it free.	我是免費得到的。
I have a home.	我有一个家。
I have an egg.	我有一只蛋。
I have to win.	我必须赢。
I like sports.	我喜歡運動。
I like sweets.	我喜歡甜食。
I like to eat.	我喜歡吃。
I like to run.	我喜欢跑步。
I love coffee.	我愛咖啡。
I love movies.	我愛電影。
I love nature.	我愛大自然。
I love sports.	我喜歡運動。
I miss Boston.	我想念波士頓。
I must go now.	我現在必須走了。
I need to try.	我需要尝试。
I respect Tom.	我尊敬湯姆。
I think I can.	我想我可以。
I use Twitter.	我用Twitter。
I want to cry.	我想哭。
I want to die.	我想死
I was at home.	我刚才在家。
I was so cold.	我很冷。
I'll buy this.	我要買這個。
I'll call you.	我会打电话给你。
I'll eat here.	我會在這裡吃飯。
I'll take him.	我会去接他的。
I'm a teacher.	我是個老師。
I'm exhausted.	我累死了。
I'm exhausted.	困死了。
I'm on a diet.	我在節食。
I'm on my way.	我这就上路。
I'm so stupid.	我真蠢。
I'm very busy.	我很忙。
I've got time.	我有时间。
I've got wine.	我有酒。
Is it serious?	严重吗？
It is raining.	下雨了。
It is raining.	在下雨。
It looks good.	看起来不错。
It might rain.	可能会下雨。
It might rain.	可能要下雨了。
It's a secret.	它是個秘密。
It's business.	公事公辦。
It's freezing.	天氣好冷。
It's improved.	它有改善了。
It's my treat.	我請客。
It's not mine.	不是我的。
It's too long.	它太長了。
It's too loud.	它太大聲。
It's very big.	它很大。
Keep Tom safe.	确保汤姆安全。
Keep it quiet.	保持安静
Let me see it.	讓我看看。
Lock the gate.	鎖大門。
May I come in?	我可以進來嗎?
Meet me there.	在那裡見我。
My foot hurts.	我的脚痛。
My pen is new.	我的钢笔是新的。
Never give up.	决不放弃。
Pace yourself.	量力而行。
Quit gambling.	戒掉赌博吧。
Read this now.	现在读这个。
Save yourself.	拯救你自己。
See you again.	再见！
See you later.	再见。
Shake my hand.	和我握手。
Shall we walk?	我们该步行吗？
She felt blue.	她感到闷闷不乐的。
She hated him.	她恨他。
She loves Tom.	她愛湯姆。
She's dieting.	她在节食中。
She's my type.	她是我的菜。
Shut the door.	不要把门开着。
Shut the door.	关门。
Sit beside me.	坐我旁边。
Speak clearly.	講清楚。
Stir the soup.	搅一下汤。
Stop meddling.	别再插手。
Stop shooting.	停止射击。
Straighten up.	改邪归正。
Stuff happens.	事情难免会发生。
Tell me again.	重新告訴我。
Thanks anyway.	还是要说谢谢的。
That's a book.	那是一本書。
The bell rang.	铃响了。
They're armed.	他們有帶武器。
This is a wig.	这是假发。
Time is money.	时间就是金钱。
Today was fun.	今天很有趣。
Tom came back.	湯姆回來了。
Tom didn't go.	汤姆没走。
Tom is a hick.	汤姆是个乡巴佬。
Tom is absent.	湯姆缺席。
Tom is boring.	汤姆是个无聊的人。
Tom is so hot.	汤姆非常性感。
Tom isn't old.	湯姆不老。
Tom knows him.	湯姆認識他。
Tom loves you.	汤姆爱你。
Tom overslept.	汤姆睡过头了。
Tom runs fast.	汤姆跑得快。
Tom was fired.	湯姆被解僱了。
Wait a moment.	請稍等。
We kept quiet.	我们保持了沉默。
We like music.	我們喜歡音樂。
We missed you.	我們想你。
We need money.	我們需要錢。
We understand.	我们明白。
We want candy.	我們想要糖。
We'll be busy.	我們會很忙。
We'll do that.	我們會去做。
We're worried.	我们很担心。
We've arrived.	我們已經到了。
Where are you?	你在哪儿?
Who helps her?	谁帮帮她？
Whose is this?	这是谁的？
Why blame Tom?	为什么责备汤姆？
You are lying.	你在撒谎。
You are sharp.	你很聰明。
You could run.	你能跑。
You look pale.	你看起來很蒼白。
You should go.	你應該去。
You should go.	你最好去。
You will fail.	你會失敗。
You work hard.	你工作努力。
You're joking!	你在開玩笑吧！
You're so bad.	你真壞。
A bird can fly.	鸟会飞。
Allow me to go.	請允許我去。
Are you crying?	你在哭嗎？
Aren't you Tom?	你不是湯姆嗎?
Aren't you Tom?	你不是湯姆嗎？
Aren't you hot?	你不热吗？
Be nice to her.	对她好点。
Birds lay eggs.	鳥下蛋。
Boil the water.	把水燒開。
Bring it to me.	把它带给我。
Can I eat this?	我可以吃这个吗?
Can I help you?	我能幫你嗎？
Can I sit here?	我能坐这里吗？
Clean the room.	打掃房間。
Close the door.	关门。
Coffee, please.	我要咖啡，谢谢。
Deal with them.	解决他们。
Do we know you?	我们认识你么？
Do you know me?	你认识我吗？
Do you know me?	你还认识我吗？
Do you like it?	你喜欢吗 ?
Do you like it?	你喜歡嗎？
Do you miss me?	你想我了？
Do you miss me?	你想我吗？
Do you promise?	你保证吗？
Don't touch it.	別碰它。
Everybody lies.	每个人都会说谎。
Foxes eat hens.	狐狸吃母鸡。
Get out of bed!	起床!
Good afternoon.	下午好。
Happy New Year!	新年快樂！
Have some more.	你該多吃點。
He accelerated.	他提速了。
He cannot swim.	他不會游泳。
He confused us.	他把我們弄糊塗了。
He doesn't lie.	他不说谎。
He held a ball.	他举办了一场舞会。
He is American.	他是美国人。
He lives alone.	他一个人生活。
He lives alone.	他独自生活。
He looks young.	他看起来很年轻。
He lost a book.	他弄丟了一本書。
He sang a song.	他唱了一首歌。
He was drowned.	他被淹死了。
He was drowned.	他溺水而亡。
He's a big boy.	他是個大男孩。
He's an author.	他是作家。
Here is a book.	這裡有一本書。
How much is it?	它多貴?
How much is it?	多少錢?
How's it going?	你們好嗎？
I am Hungarian.	我是匈牙利人。
I am a teacher.	我是個老師。
I am exhausted.	我累死了。
I am off today.	我今天休息。
I am too short.	我太矮了。
I believed you.	我相信了你。
I borrow money.	我借錢。
I broke my arm.	我的手臂斷了。
I don't get it.	我不懂。
I go to school.	我去学校。
I got arrested.	我被逮捕了。
I got up early.	我起床早。
I had a vision.	我有一个设想。
I had a vision.	我有一个愿景。
I hate Mondays.	我讨厌星期一。
I have a cough.	我咳嗽。
I have a dream.	我有一个梦想。
I have hiccups.	我打嗝了。
I have no time.	我没时间。
I hiccup a lot.	我经常打嗝。
I like flowers.	我喜歡花。
I like jogging.	我喜欢跑步。
I like reading.	我喜欢阅读。
I like running.	我喜欢跑步。
I like to read.	我喜欢阅读。
I love my life.	我爱我的生活。
I love my life.	我爱我的生命。
I love my wife.	我爱我的妻子。
I love parties.	我愛派對。
I met a friend.	我遇见一个朋友。
I need a stamp.	我需要一張郵票。
I need it ASAP.	我尽快需要。
I need my coat.	我需要我的大衣。
I need to know.	我需要知道。
I often hiccup.	我经常打嗝。
I said shut up!	我说过了，闭嘴！
I saw five men.	我看到了五個男人。
I should do it.	我应该去做。
I study Korean.	我学韩语。
I was a doctor.	我以前是醫生。
I was learning.	我在學習。
I will sue you.	我要控告你。
I'd like to go.	我想要去。
I'll alert Tom.	我会警告汤姆。
I'll come back.	我会回来的。
I'll scold him.	我會責備他。
I'll see to it.	我會留意的。
I'll see to it.	由我来做.
I'll stay home.	我會待在家裡。
I'll treat you.	我請你。
I'm a free man.	我是一個自由的人。
I'm a good guy.	我是一个好人。
I'm behind him.	我在他後面。
I'm free today.	我今天有空。
I'm from Tokyo.	我来自东京。
I'm not greedy.	我不貪婪。
I'm not guilty.	我没有罪。
I'm so excited.	我很激动。
I'm undressing.	我脱衣服。
I'm very happy.	我很快樂。
I'm very happy.	我很快乐。
I've seen that.	我見過。
Is he Japanese?	他是日本人吗？
Is that better?	那更好吗？
Isn't it black?	它不是黑色的嗎？
It is so early.	太早了。
It is too late.	太晚了。
It makes sense.	那样说得通。
It took months.	它花了几个月。
It's brand new.	这是全新的。
It's dangerous!	它是危險的!
It's not funny.	这不好笑。
It's our fault.	它是我們的錯誤。
It's the truth.	这是事实。
It's too large.	它太大了。
It's up to you.	这就要看您了。
It's up to you.	由你來決定。
It's very cold.	非常冷。
It's well done.	做得很好。
It's your book.	它是你的書。
It's your move.	該你走了。
Keep listening.	继续听。
Let me do that.	让我去做。
Let us go home.	让我们回家吧。
Let's just eat.	我們吃吧。
Listen to this.	聽聽這個。
May I use this?	我可以用嗎？
My name is Tom.	我叫Tom。
Now I remember.	现在我想起来了。
Please come in.	請進來。
Please do that.	麻煩您那樣做。
Please help me.	請幫助我。
Please help me.	請幫我。
Please join us.	請加入我們。
Please tell me.	請告訴我。
Please wash it.	请清洗它。
Prices went up.	物價上漲。
Read this book.	看这本书。
Say it clearly.	說清楚。
Science is fun.	科學好玩。
See you around.	再见！
She fooled him.	她愚弄了他。
She grew roses.	她種了玫瑰。
She might come.	她也許會來。
She seems rich.	她看來有錢。
Smoke appeared.	烟雾出现了。
Someone called.	有人打電話來。
Stop grumbling.	停止发牢骚吧。
Stop resisting!	停止抵抗！
Take your time.	你可以慢慢来。
That's a shame.	那是一個恥辱。
That's logical.	那符合逻辑。
That's my coat.	那是我的大衣。
That's perfect.	那是完美的。
That's too bad.	多遗憾啊！
That's too bad.	那太糟糕了。
The birds sang.	鳥兒歌唱。
The flag is up.	旗子升起了。
The phone rang.	電話正在響。
Their eyes met.	他們目光相接。
These are pens.	這些是筆。
They hated Tom.	他們恨湯姆。
They have jobs.	他們有工作。
They let me go.	他們讓我走。
They love that.	他们喜欢那个
They trust Tom.	他们信任汤姆。
They want more.	他們想要更多。
They want this.	他們想要這個。
They were good.	他们不错。
This is a book.	这是一本书。
This is my bag.	那是我的包。
Tom can change.	湯姆能改變。
Tom can't swim.	汤姆不会游泳。
Tom has a plan.	湯姆有個計畫。
Tom is a rabbi.	汤姆是个拉比。
Tom isn't dumb.	汤姆不傻。
Tom looks pale.	湯姆看起來很蒼白。
Tom walked out.	湯姆走了出去。
Tom's fearless.	汤姆无所畏惧。
Tom's laughing.	汤姆在笑。
Tom's thrilled.	汤姆兴奋不已。
Treat him well.	對他好一點。
Turn on the TV.	开电视。
Turn up the TV.	把电视声音调大点儿。
Was Tom asleep?	汤姆睡着了吗？
Wash your feet.	洗您的脚。
Wash your feet.	洗你的脚。
Watch yourself.	自己当心啊。
We forgive you.	我們原諒你。
We knew no one.	我們誰也不認識。
We study music.	我们学习音乐。
We're a family.	我們是個家庭。
We're not late.	我们没迟到。
Well, let's go.	好吧，我們走吧。
Were you right?	你是对的吗？
What about you?	你們呢？
What about you?	您呢？
What do you do?	你的職業是什麼?
What's her job?	她做什么工作？
Where do we go?	我们去哪儿？
Where were you?	之前你在哪里？
Who's that guy?	那家伙是谁？
Why do you ask?	你問這個幹什麼?
Why is he here?	为什么他在这儿？
Wipe your eyes.	擦擦你的眼睛。
Yes, I know it.	是的，我知道。
Yes, of course.	是的，當然。
You look bored.	你看起來很無聊。
You look tense.	你看起来很紧张。
You look tired.	你看起來很疲倦。
You must do it.	你必須去做。
You'll love it.	你會愛它。
You're kidding!	你開玩笑吧！
Are you over 18?	你有18歲了嗎？
Are you serious?	你是认真的吗？
Are you thirsty?	你渴吗？
Balls are round.	球是圆的。
Be happy for me.	为我感到高兴吧。
Behave yourself.	规矩点。
Black suits you.	黑色很衬你。
Boil some water.	烧一点水。
Call the police!	叫警察！
Call the police!	报警！
Call the police.	报警！
Can you find it?	你能找到它嗎？
Clean your room.	清掃你的房間。
Close your eyes.	闭上你的眼睛。
Close your eyes.	闭上你们的眼睛。
Come if you can.	如果你能就來吧。
Congratulations!	祝贺你。
Congratulations!	恭喜！
Could you do it?	你能做到嗎？
Count to thirty.	数到三十。
Did Tom say who?	汤姆说是谁了吗？
Did you like it?	你以前喜欢吗？
Did you miss me?	你想我了？
Do you go often?	您经常去吗？
Do you have one?	你有嗎？
Do you know him?	你认识他吗?
Do you like rap?	你喜欢说唱音乐吗？
Do you remember?	你记得吗？
Does love exist?	愛存在嗎？
Don't be fooled.	別被騙了。
Don't bother me.	别来烦我。
Don't forget me.	別忘了我。
Don't open that.	别打开那个。
Don't run risks.	不要冒险。
Don't tell lies.	别说谎!
Drive carefully.	开车小心点。
Get out of here.	離開這裡。
Give Tom a hand.	幫湯姆一把。
Give it to them.	把它给他们。
Go to the patio.	去露台。
Green suits you.	綠色適合你。
Have a nice day.	祝你一天过得愉快。
He acts quickly.	他行动迅速。
He began to cry.	他开始哭了。
He is my father.	他是我父親。
He is very kind.	他非常親切。
He is very tall.	他很高。
He just arrived.	他刚到。
He looks strong.	他看起來很強壯。
He loves trains.	他喜歡火車。
He pressured me.	他向我施压。
He studied hard.	他努力學習。
He tends to lie.	他企图说谎。
He tires easily.	他很容易觉得累。
He was very old.	他很老。
He will survive.	他會倖存。
He's a comedian.	他是喜剧演员。
He's a good guy.	他是個好人。
He's a good lad.	他是個好人。
He's a good man.	他是个好人。
He's a good man.	他是個好人。
He's a tall boy.	他是一个高大的男孩。
He's not a hero.	他不是英雄。
He's not stupid.	他不是傻子。
He's very angry.	他非常生气。
Here's your tea.	这是你的茶。
Hi! How are you?	嗨！你好嗎？
His word is law.	他的话就是命令。
How do you feel?	你感觉如何？
How do you know?	我怎麼知道？
How is everyone?	大家好嗎？
How is it going?	你們好嗎？
How old are you?	你幾歲?
How rude of you!	你真粗魯！
How unfortunate!	可憐!
How's the apple?	這個蘋果怎麼樣？
I ache all over.	我全身酸痛。
